cycle,simulation_time,action,green_time,phase,queue_length,total_waiting_time,avg_waiting_time_per_vehicle,occupancy,density,throughput,vehicles_in_detectors,flow_rate,jam_detected,vehicles_through_motorcycle,vehicles_through_passenger,vehicles_through_bus,vehicles_through_truck,total_vehicles_through,cumulative_throughput,avg_speed,fuel_consumption,co2_emission
37,703.0,0,15,6,24,24,1.0,23.916666666666664,99.99999999999999,5.5,24,142.6173541963015,False,403,79,1,0,483,201.9,2.006655578149777,16164.604772576155,50677.126221344995
38,722.0,0,15,0,31,31,1.0,34.66037186280332,129.16666666666669,3.9999999999999996,31,147.2160664819944,False,413,80,1,0,494,205.9,0.8699543632602963,22434.482721417655,70335.00384500157
39,741.0,0,15,3,51,51,1.0,56.02005974456446,212.5,23.000000000000007,51,150.0607287449392,False,453,91,1,0,545,228.9,0.7582995926580021,34499.333086251565,108159.74115476679
40,760.0,0,15,6,28,28,1.0,30.746353355502954,116.66666666666666,5.4,28,154.30263157894728,False,461,94,1,0,556,234.3,0.5173320444137486,21484.18828489397,67355.11237060568
41,779.0,0,15,0,39,39,1.0,42.458333333333336,162.5,6.499999999999998,39,157.759948652118,False,476,96,1,0,573,240.8,1.7143707729069588,26125.246222635527,81906.1129955702
42,798.0,0,15,3,56,56,1.0,59.95833333333333,233.33333333333331,22.20000000000001,56,161.84210526315778,False,520,105,1,0,626,263.0,0.38688480036807044,42991.50267790346,134782.44593710976
43,817.0,0,15,6,28,28,1.0,29.341596045537887,116.66666666666666,5.1,28,165.1835985312116,False,527,108,1,0,636,268.1,2.2018608584885517,18459.58640831644,57873.01999975516
44,836.0,0,15,0,37,37,1.0,36.791666666666664,154.16666666666669,5.0,37,166.38157894736827,False,537,110,1,0,648,273.1,0.830085503352036,25682.110253833645,80515.18577824273
45,855.0,0,15,3,57,57,1.0,57.04166666666666,237.50000000000003,21.20000000000001,57,169.1578947368419,False,591,115,1,0,707,294.3,0.5902596017925797,41580.24463416218,130356.98377948714
46,874.0,0,15,6,25,25,1.0,26.38585556772258,104.16666666666666,4.599999999999999,25,171.86498855835217,False,603,116,1,0,720,298.90000000000003,1.7371297258160152,14847.771043924995,46549.423335717314
47,893.0,0,15,0,35,35,1.0,39.51756303758962,145.83333333333334,2.8,35,173.8017917133256,False,609,117,1,0,727,301.70000000000005,0.6380411408630707,24939.115767750456,78233.00120346616
48,912.0,0,15,3,52,52,1.0,59.05278902275791,216.66666666666669,20.700000000000014,52,177.4342105263155,False,658,123,1,0,782,322.40000000000003,0.6498916976489857,38167.63027507238,119706.59787263161
49,931.0,0,15,6,29,29,1.0,34.19575177062088,120.83333333333331,12.499999999999998,29,180.24167561761516,False,673,129,2,0,804,334.90000000000003,1.1171756263154964,20082.978063653834,63009.39404739528
50,950.0,0,15,0,38,38,1.0,36.43849044619253,158.33333333333331,3.0999999999999996,38,183.03157894736808,False,680,130,2,0,812,338.00000000000006,1.0508746954149388,26533.866494158327,83185.46439753578
51,969.0,0,15,3,58,58,1.0,63.000927872996954,241.66666666666666,23.80000000000001,58,185.75851393188816,False,726,138,2,1,867,361.80000000000007,0.5482596663320162,47204.40459135305,148092.262456776
52,988.0,0,15,6,31,31,1.0,31.312334423615457,129.16666666666663,5.999999999999999,31,187.28744939271218,False,736,141,2,1,880,367.80000000000007,1.0158759517419012,24468.240543004205,76710.22023973768
53,1007.0,0,15,0,41,41,1.0,43.651253656259414,170.83333333333331,3.8999999999999995,41,189.6077457795428,False,749,141,2,1,893,371.70000000000005,0.6634320869188998,28438.262337639622,89157.14406278994
54,1026.0,0,15,3,67,67,1.0,71.44524973804207,279.16666666666663,22.800000000000008,67,193.07017543859607,False,795,150,2,1,948,394.50000000000006,0.5403345973631261,47163.3271023254,147861.2849168505
55,1045.0,0,15,6,47,47,1.0,47.36557843300111,195.83333333333326,6.999999999999999,47,195.6746411483249,False,815,151,2,1,969,401.50000000000006,1.1559707825671248,34211.7322378766,107256.86842599616
56,1064.0,0,15,0,57,57,1.0,61.490962693193225,237.49999999999994,7.399999999999999,57,198.14379699248073,False,823,156,2,1,982,408.90000000000003,0.6818783770833755,41449.187916056406,129947.58547797098
57,1083.0,0,15,3,70,70,1.0,73.6624796031233,291.66666666666663,23.60000000000001,70,200.98337950138458,False,865,167,2,1,1035,432.50000000000006,0.48329989611482377,52042.30693602847,163157.62597927634
58,1102.0,0,15,6,40,40,1.0,40.4124796031233,166.66666666666663,4.6,40,202.0099818511792,False,877,168,2,1,1048,437.1000000000001,0.9062283231378473,29012.127394018655,90955.47728709054
59,1121.0,0,15,0,50,50,1.0,55.22498827987573,208.3333333333333,4.999999999999999,50,205.1293487957176,False,887,170,2,1,1060,442.1000000000001,0.4820489361178632,37062.292204202124,116194.15043274905
60,1140.0,0,15,3,64,64,1.0,75.64890055245723,266.66666666666663,27.600000000000012,64,207.43421052631527,False,919,186,3,1,1109,469.7000000000001,0.34892929296719716,50422.84822616002,158128.86898704205
61,1159.0,0,15,6,38,38,1.0,39.60525709875443,158.3333333333333,6.7,38,209.35289042277776,False,928,190,3,1,1122,476.4000000000001,0.8794355818647871,27406.103415447382,85920.25365264357
62,1178.0,0,15,0,51,51,1.0,52.260587123673666,212.49999999999997,2.4,51,210.25466893038998,False,936,190,3,1,1130,478.80000000000007,0.6905906082511978,36312.26174470263,113842.23675957383
63,1197.0,0,15,3,75,75,1.0,76.9776176870401,312.5,21.700000000000003,75,211.6917293233077,False,985,197,3,1,1186,500.50000000000006,0.25672561054822635,59212.67524755299,185636.84168722064
64,1216.0,0,15,6,40,40,1.0,41.695273547544446,166.66666666666666,7.999999999999998,40,212.78782894736784,False,1005,199,3,1,1208,508.50000000000006,0.7406983905837268,31270.042357691284,98034.69279300538
65,1235.0,0,15,0,54,54,1.0,55.19308504283512,224.99999999999997,3.8999999999999995,54,215.05263157894677,False,1008,202,3,1,1214,512.4000000000001,0.642958380300216,33038.05800866489,103577.22029500778
66,1254.0,0,15,3,75,75,1.0,79.32300165439585,312.5,25.100000000000016,75,218.1100478468893,False,1055,213,3,1,1272,537.5000000000001,0.31348038783297494,55538.30784542551,174117.7402351992
67,1273.0,0,15,6,44,44,1.0,44.74415468286127,183.33333333333331,6.499999999999999,44,219.520816967792,False,1070,215,3,1,1289,544.0000000000001,0.7979958190730961,33096.563755666444,103760.75481329297
68,1292.0,0,15,0,62,62,1.0,63.23882667683318,258.3333333333333,5.0,62,222.66640866873,False,1080,217,3,1,1301,549.0000000000001,1.0307746160610802,38592.71086571678,120992.18731856528
